crop,temperature,humidity,market_price,disease_risk,water_need
Paddy,30.0,82.2,1831.71,0,0
Ragi,20.2,67.3,3151.35,1,0
Sugarcane,35.3,64.6,3415.84,0,1
Paddy,22.3,80.5,2458.16,0,0
Paddy,29.5,64.5,2367.84,0,0
Ragi,34.1,45.4,3749.55,0,1
Paddy,24.7,69.6,1950.21,0,0
Paddy,22.2,63.3,2278.1,0,0
Sugarcane,34.8,55.4,3022.42,0,1
Paddy,32.6,69.9,1882.72,0,0
Sugarcane,30.2,77.5,2058.78,0,0
Sugarcane,37.1,51.3,2266.16,0,1
Sugarcane,33.5,63.0,3097.47,0,1
Paddy,25.3,80.3,2406.98,0,0
Sugarcane,28.6,67.2,3109.86,0,0
Ragi,21.5,66.1,3156.83,1,0
Sugarcane,29.8,75.8,2583.8,0,0
Sugarcane,38.6,43.7,2478.97,0,1
Paddy,30.8,76.9,2145.12,0,0
Sugarcane,26.4,64.1,2830.55,0,0
Sugarcane,36.3,71.7,3184.43,1,1
Sugarcane,39.0,79.0,3493.9,1,1
Paddy,27.7,91.1,2045.64,0,0
Paddy,34.6,84.1,2385.87,0,1
Sugarcane,26.5,43.4,3051.45,0,0
Paddy,27.2,91.2,1902.62,0,0
Sugarcane,26.3,79.5,2561.41,0,0
Sugarcane,38.2,49.5,3361.54,0,1
Sugarcane,36.3,55.1,2125.25,0,1
Sugarcane,30.7,68.2,2373.09,0,0
Ragi,21.7,49.7,2514.76,0,0
Paddy,22.7,64.2,1882.27,0,0
Sugarcane,36.2,67.2,2356.26,0,1
Sugarcane,30.6,51.4,3302.9,0,0
Paddy,27.7,88.1,2484.53,0,0
Sugarcane,25.6,75.6,2791.55,0,0
Ragi,33.8,40.1,3404.03,0,1
Sugarcane,32.8,65.2,3043.62,0,0
Ragi,34.9,57.9,2999.46,0,1
Ragi,20.7,41.2,3735.53,0,0
Paddy,27.9,81.7,1994.17,0,0
Paddy,27.0,68.0,1986.16,0,0
Sugarcane,39.6,79.4,3047.24,1,1
Sugarcane,29.2,56.4,2904.17,0,0
Sugarcane,27.0,43.0,3410.8,0,0
Ragi,30.9,54.5,3043.72,0,0
Paddy,33.3,61.6,1818.46,0,1
Sugarcane,36.7,59.2,3477.93,0,1
Ragi,28.9,45.2,3760.89,0,0
Ragi,28.5,32.5,2547.87,0,0
Ragi,24.1,32.3,3624.14,0,0
Sugarcane,33.0,70.0,3369.75,0,1
Ragi,31.5,67.8,3604.54,1,0
Sugarcane,28.6,48.2,2377.16,0,0
Sugarcane,34.1,49.1,3007.55,0,1
Paddy,26.7,64.0,2270.1,0,0
Paddy,28.2,89.1,2015.44,2,0
Sugarcane,33.3,62.4,3314.98,0,1
Sugarcane,33.8,59.2,2630.8,0,1
Sugarcane,34.3,68.2,2319.45,0,1
Paddy,30.0,94.3,2225.66,2,0
Paddy,27.1,75.3,2432.91,0,0
Sugarcane,32.7,71.3,2594.81,0,0
Ragi,27.9,57.9,3535.41,0,0
Paddy,34.0,77.2,1980.77,0,1
Sugarcane,39.7,59.7,2493.13,0,1
Ragi,28.7,43.7,3198.44,0,0
Ragi,21.9,36.1,2680.48,0,0
Sugarcane,38.5,59.0,3001.34,0,1
Paddy,29.8,67.8,2375.25,0,0
Paddy,25.6,66.2,1862.09,0,0
Sugarcane,33.0,54.2,3341.33,0,1
Sugarcane,32.6,67.6,2058.97,0,0
Sugarcane,32.2,67.5,2767.49,0,0
Ragi,33.8,32.4,2859.94,0,1
Sugarcane,26.3,63.9,3479.39,0,0
Ragi,25.6,49.4,3303.73,0,0
Ragi,28.0,58.8,2581.04,0,0
Ragi,23.8,58.5,3663.77,0,0
Paddy,31.7,61.1,2407.05,0,0
Paddy,28.9,68.5,1988.47,0,0
Sugarcane,27.7,62.6,3261.06,0,0
Paddy,26.3,64.2,2423.37,0,0
Sugarcane,35.2,71.6,2747.66,1,1
Ragi,28.8,59.5,3225.06,0,0
Sugarcane,33.5,55.2,2506.17,0,1
Paddy,29.9,68.6,2148.77,0,0
Paddy,29.9,68.3,1871.25,0,0
Paddy,26.7,77.1,2395.57,0,0
Paddy,25.7,66.1,2427.74,0,0
Ragi,20.8,30.7,3406.05,0,0
Ragi,33.4,53.0,3692.61,0,1
Ragi,32.3,40.3,2722.15,0,0
Ragi,32.3,58.7,3195.55,0,0
Paddy,25.6,86.9,1930.93,0,0
Paddy,31.2,67.0,2315.37,0,0
Ragi,30.6,60.7,2613.48,0,0
Paddy,24.0,76.8,2172.81,0,0
Sugarcane,30.5,58.2,2822.9,0,0
Paddy,34.9,71.3,2366.91,0,1
Sugarcane,27.1,40.1,2175.04,0,0
Ragi,27.1,46.5,2953.53,0,0
Sugarcane,37.8,69.8,2612.78,0,1
Sugarcane,36.0,77.5,2271.85,1,1
Ragi,33.9,58.9,2562.52,0,1
Sugarcane,27.1,71.8,2302.44,0,0
Paddy,32.7,66.5,1964.98,0,0
Paddy,28.8,72.6,2414.04,0,0
Sugarcane,35.2,58.1,3070.67,0,1
Ragi,29.4,51.6,3070.37,0,0
Sugarcane,28.5,76.0,2575.84,0,0
Paddy,22.9,68.0,2179.99,0,0
Paddy,34.2,82.0,2034.43,0,1
Ragi,33.2,49.8,3463.9,0,1
Ragi,31.8,36.1,2905.24,0,0
Sugarcane,36.7,45.7,2306.82,0,1
Paddy,31.9,90.7,2039.46,2,0
Paddy,29.0,73.3,2119.9,0,0
Ragi,32.0,36.0,2798.03,0,0
Sugarcane,35.8,65.6,3040.92,0,1
Paddy,25.3,72.1,1927.12,0,0
Paddy,26.5,68.0,2096.52,0,0
Paddy,34.3,65.4,2210.36,0,1
Paddy,23.3,69.0,2308.27,0,0
Ragi,34.0,52.6,3405.65,0,1
Sugarcane,35.6,46.1,2864.43,0,1
Paddy,22.9,62.7,1872.97,0,0
Sugarcane,38.9,58.0,2169.86,0,1
Sugarcane,27.5,47.5,3256.24,0,0
Sugarcane,38.0,60.8,2886.91,0,1
Sugarcane,30.7,69.8,2308.37,0,0
Sugarcane,25.1,53.3,2597.25,0,0
Sugarcane,38.0,76.9,2698.55,1,1
Ragi,31.1,48.1,2791.99,0,0
Ragi,22.1,37.1,3147.88,0,0
Paddy,22.4,70.9,2346.35,0,0
Ragi,29.5,30.5,3362.6,0,0
Ragi,34.6,48.4,3224.5,0,1
Paddy,23.1,94.9,2151.54,0,0
Sugarcane,29.6,55.9,2640.18,0,0
Ragi,25.2,48.7,3312.47,0,0
Sugarcane,32.1,62.6,2098.56,0,0
Paddy,31.3,78.5,2174.12,0,0
Sugarcane,31.0,62.4,2232.86,0,0
Sugarcane,30.0,43.0,3129.87,0,0
Paddy,25.5,82.5,2086.11,0,0
Ragi,34.7,63.6,3627.09,0,1
Sugarcane,33.3,50.2,2294.17,0,1
Ragi,20.3,34.2,3539.89,0,0
Ragi,33.3,52.3,3437.06,0,1
Ragi,23.6,58.9,3612.41,0,0
Ragi,34.4,67.8,2683.41,1,1
Paddy,25.8,91.4,1809.1,0,0
Ragi,31.0,63.9,2659.61,0,0
Ragi,28.7,46.9,3660.47,0,0
Ragi,29.4,43.4,3572.64,0,0
Ragi,28.9,40.7,3311.39,0,0
Paddy,32.1,72.7,2402.75,0,0
Ragi,34.2,60.5,2682.15,0,1
Paddy,29.4,94.5,2129.75,2,0
Sugarcane,32.3,60.5,3112.53,0,0
Paddy,30.2,69.0,1897.55,0,0
Ragi,26.3,35.3,3670.74,0,0
Paddy,25.5,60.6,2440.01,0,0
Sugarcane,37.2,59.9,2100.76,0,1
Sugarcane,34.8,73.2,2309.63,0,1
Paddy,23.8,69.2,1986.55,0,0
Ragi,29.0,54.0,3364.55,0,0
Ragi,28.6,63.5,3025.7,0,0
Paddy,28.7,61.6,1916.4,0,0
Ragi,22.8,33.6,3502.28,0,0
Sugarcane,30.8,51.5,2533.51,0,0
Sugarcane,35.8,64.4,3423.96,0,1
Ragi,30.0,67.5,3452.34,1,0
Sugarcane,29.0,61.6,2243.02,0,0
Ragi,32.7,68.2,2701.07,1,0
Sugarcane,36.6,44.3,2112.71,0,1
Sugarcane,31.2,68.2,2897.43,0,0
Sugarcane,28.7,72.8,3199.12,0,0
Ragi,24.1,53.6,2969.27,0,0
Ragi,33.8,35.5,3735.31,0,1
Ragi,27.8,33.5,3745.62,0,0
Ragi,31.0,62.3,3356.42,0,0
Paddy,30.3,94.3,2432.35,2,0
Ragi,30.4,32.1,3370.89,0,0
Paddy,29.6,95.0,2189.06,2,0
Paddy,33.9,61.2,2288.19,0,1
Sugarcane,27.9,44.6,2632.64,0,0
Sugarcane,32.1,74.5,3266.82,0,0
Paddy,28.8,82.6,2255.12,0,0
Ragi,28.4,49.2,3650.5,0,0
Ragi,25.1,59.0,2584.96,0,0
Ragi,32.1,51.5,3360.15,0,0
Sugarcane,34.4,75.4,2923.79,0,1
Paddy,27.4,76.2,2493.24,0,0
Ragi,33.1,51.2,3720.79,0,1
Ragi,21.1,30.4,2568.49,0,0
Sugarcane,31.0,59.2,2941.26,0,0
Ragi,26.0,33.7,2937.28,0,0
Sugarcane,36.0,40.1,2700.97,0,1
Paddy,33.1,85.0,2212.38,2,1
Sugarcane,38.7,41.8,2164.2,0,1
Sugarcane,35.2,48.7,3424.94,0,1
Sugarcane,28.9,63.5,3473.5,0,0
Ragi,34.2,48.7,3297.43,0,1
Sugarcane,36.2,42.6,2602.37,0,1
Sugarcane,34.7,64.3,2769.03,0,1
Paddy,22.6,73.4,1825.71,0,0
Paddy,32.1,72.3,1840.49,0,0
Ragi,23.2,50.7,3276.46,0,0
Sugarcane,27.6,55.8,3137.36,0,0
Paddy,35.0,91.4,2124.37,2,1
Sugarcane,28.4,61.5,2889.41,0,0
Paddy,33.2,76.0,2073.82,0,1
Ragi,21.9,65.5,3742.35,1,0
Paddy,32.5,82.9,2185.6,0,0
Ragi,24.2,40.1,2506.61,0,0
Ragi,30.9,49.8,2605.36,0,0
Sugarcane,38.4,79.7,2092.28,1,1
Sugarcane,32.2,63.7,3237.02,0,0
Paddy,29.1,90.3,2313.74,2,0
Ragi,33.0,39.8,2704.54,0,1
Sugarcane,30.0,49.5,3395.14,0,0
Ragi,30.5,37.6,3646.13,0,0
Sugarcane,38.1,41.2,3238.73,0,1
Paddy,32.7,68.0,2436.09,0,0
Paddy,32.6,89.1,2155.23,2,0
Ragi,22.9,33.4,2924.36,0,0
Sugarcane,34.5,50.4,2951.01,0,1
Sugarcane,36.7,44.3,3141.54,0,1
Paddy,27.6,89.4,2074.51,0,0
Ragi,34.0,34.1,3718.4,0,1
Paddy,34.3,65.8,2339.69,0,1
Sugarcane,33.7,53.8,2931.37,0,1
Ragi,32.8,69.6,3378.87,1,0
Ragi,22.0,60.3,2531.96,0,0
Ragi,32.3,44.9,3564.42,0,0
Ragi,30.2,47.8,2855.71,0,0
Sugarcane,39.2,44.1,3281.31,0,1
Ragi,31.9,57.7,2787.0,0,0
Paddy,32.0,68.1,1891.93,0,0
Ragi,34.3,36.0,3062.04,0,1
Sugarcane,38.6,74.3,3446.78,1,1
Ragi,24.1,69.4,3032.13,1,0
Paddy,25.0,67.5,1821.79,0,0
Sugarcane,35.7,62.5,2707.3,0,1
Ragi,34.5,37.4,3629.21,0,1
Sugarcane,27.3,58.1,2795.53,0,0
Ragi,29.4,35.2,2542.28,0,0
Paddy,30.0,87.9,2137.07,2,0
Paddy,29.8,81.3,1973.28,0,0
Sugarcane,28.0,59.7,2096.31,0,0
Paddy,26.2,80.7,2103.27,0,0
Sugarcane,27.2,58.6,3020.68,0,0
Paddy,28.2,81.0,2004.16,0,0
Sugarcane,36.4,78.1,3361.73,1,1
Ragi,27.2,34.2,2814.66,0,0
Sugarcane,33.6,40.7,2723.53,0,1
Sugarcane,33.4,40.4,2489.69,0,1
Paddy,28.9,90.9,1857.76,2,0
Sugarcane,26.2,55.9,2199.07,0,0
Ragi,23.0,57.7,3567.87,0,0
Paddy,24.2,63.7,2245.5,0,0
Ragi,33.4,53.8,3301.59,0,1
Ragi,28.1,58.4,3632.26,0,0
Paddy,30.1,87.4,2228.58,2,0
Ragi,21.2,65.8,3211.87,1,0
Paddy,32.2,76.8,1828.53,0,0
Paddy,27.7,85.4,2215.3,0,0
Sugarcane,32.2,64.6,2493.53,0,0
Paddy,26.4,66.4,2352.79,0,0
Ragi,20.7,36.5,2527.12,0,0
Ragi,23.4,69.9,3767.23,1,0
Ragi,21.2,46.1,2786.73,0,0
Paddy,22.4,69.0,2123.84,0,0
Paddy,34.5,74.6,2392.37,0,1
Sugarcane,30.2,54.8,3481.47,0,0
Paddy,33.3,80.3,2107.03,0,1
Sugarcane,30.9,64.2,2896.59,0,0
Paddy,30.5,94.7,1998.7,2,0
Sugarcane,28.2,64.9,2947.34,0,0
Ragi,23.5,61.0,3026.9,0,0
Paddy,24.3,68.3,2479.98,0,0
Ragi,26.2,32.8,3068.32,0,0
Paddy,33.3,75.6,2160.37,0,1
Sugarcane,34.9,43.8,2978.18,0,1
Sugarcane,39.5,50.3,2985.1,0,1
Ragi,28.8,53.9,3015.66,0,0
Ragi,26.8,39.4,2595.55,0,0
Paddy,26.3,75.7,2268.57,0,0
Sugarcane,31.5,49.9,2925.72,0,0
Sugarcane,28.8,54.4,2569.04,0,0
Ragi,31.0,56.6,3117.02,0,0
Sugarcane,35.6,57.9,3296.32,0,1
Paddy,24.7,63.9,1988.82,0,0
Paddy,23.6,68.1,1836.19,0,0
Sugarcane,26.8,58.1,3400.81,0,0
Sugarcane,26.5,63.4,3032.31,0,0
Sugarcane,32.2,67.4,2026.07,0,0
Sugarcane,34.6,74.7,2682.11,0,1
Ragi,27.8,43.7,3191.92,0,0
Ragi,20.4,42.3,3416.08,0,0
Paddy,31.5,65.7,1931.84,0,0
Ragi,30.1,47.8,3628.58,0,0
Paddy,25.3,83.2,2485.04,0,0
Ragi,30.2,49.9,3303.2,0,0
Ragi,28.6,31.2,3710.23,0,0
Paddy,33.9,81.0,2458.61,0,1
Paddy,27.1,82.8,1874.62,0,0
Paddy,35.0,61.7,2484.02,0,1
Sugarcane,39.9,70.1,2135.72,1,1
Ragi,31.1,65.1,3025.38,1,0
Paddy,34.0,75.3,2430.96,0,1
Sugarcane,37.0,57.4,3226.75,0,1
Paddy,29.1,60.2,2027.21,0,0
Paddy,27.2,84.3,2071.99,0,0
Sugarcane,33.9,61.8,2666.63,0,1
Paddy,23.0,81.1,2267.75,0,0
Paddy,31.9,77.5,2179.65,0,0
Paddy,28.2,60.9,2038.87,0,0
Sugarcane,31.0,63.2,2800.4,0,0
Ragi,25.9,52.0,3470.94,0,0
Ragi,27.8,62.9,3060.12,0,0
Ragi,21.1,68.2,3351.1,1,0
Ragi,20.9,67.4,2957.11,1,0
Paddy,24.2,81.6,2166.16,0,0
Paddy,26.0,88.1,2177.41,0,0
Paddy,29.9,85.1,1990.84,2,0
Paddy,23.6,66.3,2276.78,0,0
Paddy,32.4,66.5,2006.69,0,0
Sugarcane,33.5,50.3,3444.39,0,1
Paddy,32.5,79.3,1830.39,0,0
Paddy,23.5,60.1,2246.59,0,0
Sugarcane,38.3,49.1,2318.07,0,1
Paddy,24.3,72.6,2434.12,0,0
Sugarcane,28.6,71.2,2412.21,0,0
Ragi,32.8,56.9,3552.39,0,0
Ragi,29.4,48.1,3262.59,0,0
Ragi,23.5,64.8,3114.76,0,0
Sugarcane,26.4,40.9,2962.96,0,0
Ragi,28.2,39.3,3008.18,0,0
Sugarcane,25.9,45.7,2411.81,0,0
Ragi,30.4,46.2,3056.66,0,0
Ragi,30.9,30.6,2943.42,0,0
Paddy,23.4,85.4,2204.87,0,0
Ragi,31.6,40.6,3338.88,0,0
Ragi,26.0,44.7,2946.63,0,0
Ragi,21.0,50.8,2587.9,0,0
Sugarcane,26.0,65.6,2406.72,0,0
Paddy,30.8,68.1,2119.8,0,0
Paddy,30.7,94.8,2263.29,2,0
Sugarcane,39.9,57.9,2500.35,0,1
Paddy,29.3,93.5,1922.71,2,0
Ragi,31.3,36.8,3032.32,0,0
Paddy,27.9,86.5,2043.3,0,0
Ragi,33.9,39.4,3019.11,0,1
Paddy,34.9,92.4,2177.97,2,1
Sugarcane,35.1,43.7,2385.57,0,1
Ragi,33.0,54.3,3158.89,0,0
Paddy,22.8,64.1,1959.15,0,0
Sugarcane,30.4,43.5,3405.44,0,0
Sugarcane,32.6,73.0,2419.56,0,0
Paddy,29.8,78.0,2443.57,0,0
Ragi,28.6,52.7,3008.36,0,0
Ragi,26.0,51.6,3316.34,0,0
Paddy,33.4,90.4,2364.15,2,1
Ragi,24.6,33.2,3023.87,0,0
Paddy,24.0,67.8,2470.13,0,0
Paddy,30.3,88.8,1892.77,2,0
Paddy,26.1,81.2,1897.44,0,0
Paddy,32.8,71.1,2466.96,0,0
Paddy,23.9,72.9,1847.72,0,0
Paddy,28.6,68.1,1855.98,0,0
Sugarcane,39.0,75.0,2416.63,1,1
Ragi,29.6,38.6,3305.46,0,0
Ragi,22.3,32.5,3514.99,0,0
Paddy,24.8,77.0,2327.98,0,0
Ragi,30.4,69.3,2810.93,1,0
Ragi,21.1,61.3,2845.0,0,0
Ragi,30.4,32.5,3162.25,0,0
Ragi,23.4,39.3,2787.04,0,0
Sugarcane,34.4,61.1,2639.13,0,1
Ragi,31.9,46.2,3350.3,0,0
Ragi,25.5,46.6,3575.8,0,0
Sugarcane,30.8,78.6,2372.87,0,0
Paddy,28.3,60.7,1981.87,0,0
Paddy,30.9,66.6,2233.26,0,0
Sugarcane,25.2,49.6,3463.81,0,0
Paddy,22.8,61.5,2059.99,0,0
Sugarcane,33.2,58.2,3266.54,0,1
Ragi,22.2,35.1,3624.06,0,0
Paddy,28.2,73.2,2076.13,0,0
Paddy,27.1,93.5,1893.2,0,0
Sugarcane,34.9,77.7,3213.33,0,1
Sugarcane,29.2,77.2,2379.59,0,0
Sugarcane,37.4,59.8,2579.52,0,1
Paddy,30.3,81.5,1846.66,0,0
Sugarcane,27.3,69.5,2768.33,0,0
Sugarcane,25.7,41.5,3119.31,0,0
Sugarcane,26.1,42.9,2018.16,0,0
Sugarcane,32.6,55.5,2692.92,0,0
Ragi,34.6,67.7,3519.0,1,1
Ragi,22.6,33.9,3358.39,0,0
Paddy,22.3,62.9,2477.5,0,0
Ragi,31.7,39.1,3768.79,0,0
Ragi,23.1,34.9,3299.52,0,0
Paddy,22.9,93.6,2134.78,0,0
Ragi,34.5,61.9,2880.67,0,1
Paddy,29.8,80.4,2323.65,0,0
Paddy,23.7,71.8,2449.66,0,0
Ragi,21.4,45.0,3215.12,0,0
Paddy,30.0,93.0,1968.48,2,0
Sugarcane,35.1,59.8,2019.07,0,1
Sugarcane,29.3,72.6,3292.05,0,0
Sugarcane,28.9,61.8,2954.11,0,0
Paddy,28.0,89.5,2309.94,0,0
Ragi,22.7,32.2,2916.08,0,0
Paddy,34.8,92.8,1830.22,2,1
Paddy,23.4,84.0,1864.31,0,0
Paddy,24.8,77.7,2388.49,0,0
Sugarcane,31.2,70.3,3115.14,0,0
Ragi,24.5,52.6,3395.55,0,0
Ragi,28.7,65.1,3063.94,1,0
Paddy,29.3,88.4,2319.2,2,0
Ragi,34.9,34.0,3021.94,0,1
Paddy,30.5,70.9,2319.64,0,0
Paddy,30.0,66.6,2048.77,0,0
Sugarcane,33.1,61.0,3272.07,0,1
Paddy,22.5,86.1,1941.74,0,0
Paddy,31.9,83.7,2329.39,0,0
Ragi,24.6,65.1,3795.23,1,0
Ragi,26.7,58.9,3652.05,0,0
Ragi,22.1,56.5,2502.44,0,0
Ragi,20.0,54.8,2962.14,0,0
Sugarcane,30.8,56.1,3311.39,0,0
Sugarcane,34.6,42.6,2869.98,0,1
Ragi,30.5,32.1,3132.58,0,0
Paddy,32.5,69.4,2377.53,0,0
Sugarcane,34.5,46.0,3043.12,0,1
Paddy,34.8,67.3,2377.59,0,1
Ragi,26.6,35.9,2926.65,0,0
Ragi,23.5,44.9,2581.3,0,0
Ragi,31.5,59.3,2889.28,0,0
Sugarcane,31.3,65.4,3178.48,0,0
Ragi,30.3,69.6,3471.39,1,0
Ragi,28.6,53.5,2739.82,0,0
Sugarcane,39.7,46.6,3050.38,0,1
Paddy,32.8,69.6,2162.66,0,0
Sugarcane,36.7,42.2,3279.09,0,1
Paddy,33.3,89.5,1930.27,2,1
Sugarcane,31.5,77.5,3059.03,0,0
Paddy,23.0,85.5,2147.52,0,0
Sugarcane,36.7,40.3,2085.92,0,1
Paddy,29.9,64.7,2325.96,0,0
Sugarcane,39.3,42.8,2085.58,0,1
Paddy,22.5,69.7,1992.93,0,0
Paddy,25.2,69.5,2331.58,0,0
Paddy,33.0,69.4,1909.47,0,0
Ragi,20.9,66.3,2681.02,1,0
Paddy,27.3,72.2,2429.88,0,0
Paddy,31.5,79.2,1889.59,0,0
Ragi,25.9,63.1,3524.03,0,0
Paddy,31.5,94.3,1979.57,2,0
Ragi,30.9,37.6,2939.74,0,0
Ragi,34.6,54.3,2954.36,0,1
Sugarcane,25.3,68.8,2626.98,0,0
Sugarcane,37.8,62.4,2785.09,0,1
Sugarcane,28.4,56.2,2813.82,0,0
Ragi,30.6,51.7,2606.24,0,0
Paddy,33.0,75.0,1898.67,0,1
Paddy,33.0,83.4,2123.61,0,1
Ragi,29.8,51.8,2580.96,0,0
Paddy,32.5,76.1,1836.37,0,0
Ragi,27.5,43.6,3633.78,0,0
Paddy,26.3,86.5,2163.57,0,0
Sugarcane,34.9,46.5,2383.24,0,1
Sugarcane,31.8,79.4,3158.02,0,0
Ragi,28.3,33.8,2946.76,0,0
Sugarcane,30.9,71.9,2557.9,0,0
Ragi,32.3,45.2,3508.3,0,0
Ragi,22.9,37.5,2622.25,0,0
Sugarcane,33.7,65.4,3196.87,0,1
Ragi,22.9,65.9,3176.25,1,0
Paddy,32.3,71.1,2400.03,0,0
Ragi,33.5,36.8,3159.17,0,1
Sugarcane,25.5,54.5,3098.95,0,0
Ragi,24.7,61.9,3758.08,0,0
Ragi,33.2,62.1,3156.77,0,1
Sugarcane,31.3,79.4,3001.88,0,0
Sugarcane,29.8,79.9,3469.67,0,0
Ragi,22.4,30.5,3227.68,0,0
Sugarcane,25.4,72.9,2314.63,0,0
Paddy,31.5,66.6,2400.72,0,0
Paddy,29.0,84.9,2020.05,0,0
Ragi,33.5,56.1,2908.28,0,1
Paddy,32.7,90.8,2167.8,2,0
Sugarcane,26.7,43.5,3078.62,0,0
Ragi,22.1,43.9,3085.46,0,0
Paddy,30.0,75.2,2204.07,0,0
Sugarcane,37.6,58.9,3468.66,0,1
Ragi,20.5,59.6,2638.25,0,0
Ragi,30.3,32.8,2727.35,0,0
Sugarcane,34.8,79.7,2109.01,0,1
Ragi,25.1,64.7,2780.19,0,0
Ragi,23.2,31.3,2895.13,0,0
Paddy,31.9,91.6,1962.93,2,0
Sugarcane,36.8,66.6,2390.43,0,1
Sugarcane,38.1,40.0,2253.62,0,1
Paddy,27.8,76.1,2405.19,0,0
Paddy,26.9,94.2,1877.5,0,0
Sugarcane,25.6,69.6,3377.11,0,0
Ragi,21.9,58.3,3764.61,0,0
Ragi,31.3,62.2,2523.41,0,0
Ragi,29.3,52.4,3316.71,0,0
Sugarcane,29.2,74.9,2168.87,0,0
Paddy,23.6,62.4,1984.32,0,0
Sugarcane,25.2,58.8,2451.9,0,0
Ragi,21.1,39.1,3449.32,0,0
Sugarcane,25.7,76.1,3278.4,0,0
Sugarcane,30.0,53.6,3483.54,0,0
Ragi,21.2,39.6,3532.95,0,0
Paddy,27.6,69.4,2352.41,0,0
